seqnames	start	end	width	strand	nWindows	logFC.up	logFC.down	PValue	FDR	direction	best	logFC	logCPM
chr1	9776151	9776750	600	*	10	0	5	0.0250776897053218	0.49089954831524	down	1767	-1.16076756798806	-1.50023715406679
chr1	9908451	9909150	700	*	12	5	1	0.0646733334712952	0.615348056415082	down	1861	-0.751861643720241	-1.38292618433122
chr1	9943751	9944800	1050	*	19	0	1	0.0996646014204915	0.683922418249103	down	1974	-0.95006405696241	-1.36721818515997
chr1	10008601	10009650	1050	*	19	2	0	0.0685123743717453	0.62416895455286	up	2032	1.15430623119843	-1.27312482474221
chr1	10038951	10039800	850	*	15	5	0	0.0348922801588057	0.534210798954581	up	2083	0.92774514221095	-1.05653043482827
chr1	10115601	10116450	850	*	15	0	6	0.038550097118956	0.547319375948528	down	2139	-0.748404534175939	-1.19757565755039
chr1	10139401	10139950	550	*	8	1	5	0.0542387367443503	0.588476995038954	down	2148	-2.20133692636325	-1.69496985271643
chr1	10285101	10286400	1300	*	23	12	0	0.0223035271962461	0.479045066788671	up	2231	0.711136123949586	-0.909928281300708
chr1	11025151	11025650	500	*	4	1	0	0.0981981729234679	0.681296448220443	up	2393	0.832267596922939	-1.6530355392656
chr1	11065251	11065550	300	*	4	0	2	0.0374927405862695	0.542335174442113	down	2410	-2.29764541250376	-1.56240188442959
chr1	11340651	11341200	550	*	9	0	7	0.0833332429287548	0.654659504549259	down	2488	-0.57504097802183	-1.23542467208922
chr1	11414201	11415050	850	*	15	0	2	0.0947437951275019	0.676436430568711	down	2513	-0.550816530797611	-0.508897570580735
chr1	12636601	12637200	600	*	10	0	7	0.00790339972415311	0.365571352516264	down	2631	-0.846544195566196	-1.25495428402501
chr1	12729501	12729950	450	*	7	5	0	0.0181324874252601	0.455608737994243	up	2758	1.12146865487997	-1.6716968761922
chr1	12785201	12786100	900	*	16	0	2	0.0738533958286591	0.635962110344181	down	2849	-0.93131863153036	-1.66396586044381
chr1	12790501	12790900	400	*	6	3	0	0.00707898417931919	0.356217533058343	up	2855	0.962503152409073	-1.50718191827358
chr1	12994151	12994300	150	*	1	0	1	0.0674270824365793	0.621511290875766	down	3104	-0.532550883550856	-1.65658159263434
chr1	12997551	12998000	450	*	7	0	3	0.0531574313529895	0.586432937697419	down	3105	-2.43088761808892	-1.65549027841462
chr1	13117801	13118100	300	*	4	3	0	0.00363508344393209	0.293281960346305	up	3185	1.4667713973602	-1.55765580663553
chr1	13214451	13215650	1200	*	18	0	9	0.0349751283645725	0.534324890857115	down	3339	-0.966599664300795	-1.3026861027312
chr1	13235101	13235750	650	*	11	0	1	0.0295475488033951	0.513870248406631	down	3358	-2.70278957160037	-1.69332223255087
chr1	13257151	13257800	650	*	11	0	3	0.0833562361441746	0.654728374653557	down	3417	-1.2308756920939	-1.57513485549846
chr1	13289951	13290600	650	*	11	5	0	0.0874043491484658	0.662413402828039	up	3430	0.924296396357767	-1.61314831996943
chr1	13372851	13374000	1150	*	21	0	0	0.0167650180782338	0.4464438593578	down	3585	-0.417204249873809	0.40718727956413
chr1	13468001	13468600	600	*	9	0	1	0.00997433720473063	0.388020386341415	down	3637	-3.43555352592826	-1.6243508347298
chr1	13531501	13531900	400	*	6	0	3	0.0945862262139074	0.676274905624213	down	3659	-0.537512309555218	-0.50316325166648
chr1	13643101	13643400	300	*	4	0	1	0.0852106311260445	0.657429867573593	down	3708	-0.835707844190485	-1.49809125114056
chr1	13739551	13739850	300	*	4	2	0	0.0675422919932532	0.621681321694357	up	3779	1.05163305089505	-1.62593072665153
chr1	13771051	13772250	1200	*	13	6	0	0.0418390083315968	0.557247148370773	up	3784	0.772714702680646	-1.46187286501135
chr1	13784501	13784750	250	*	3	3	0	0.00616532442007554	0.342982869226345	up	3795	1.10207891384394	-1.60471562544511
chr1	13863801	13863950	150	*	1	1	0	0.059522902401722	0.603037044705881	up	3908	0.553392749415712	-1.61511122483825
chr1	14015301	14015950	650	*	10	10	0	0.00170047695238961	0.242695435186206	up	4005	1.25573516195538	-1.55510580645791
chr1	14097651	14099150	1500	*	19	0	15	0.0337462438212806	0.529752639082466	down	4023	-0.683091880220734	-0.888664458569622
chr1	14136001	14137150	1150	*	18	4	0	0.019736698888727	0.465936297422997	up	4061	0.73312681587173	-0.888788300070064
chr1	14244701	14245300	600	*	10	0	5	0.0233021534221991	0.482874520086916	down	4259	-0.761903390674585	-0.680168976802849
chr1	14297951	14298950	1000	*	11	4	3	0.0956384666133544	0.677843267715335	up	4297	1.0132972901431	-1.58119951564833
chr1	14309151	14310000	850	*	14	3	0	0.0543298376252074	0.589019516882116	up	4338	0.619281207272317	-0.81216962266472
chr1	14462401	14463200	800	*	14	0	0	0.0131646700639132	0.419430898558997	down	4445	-0.378449148061353	0.897314686092109
chr1	14570151	14571100	950	*	17	4	0	0.0953754459512663	0.677506572737054	up	4606	1.13747337105022	-1.05444632809771
chr1	14671701	14672850	1150	*	21	0	7	0.0246936952742031	0.489879766634747	down	4665	-1.05007911727237	-1.43149227132045
chr1	14672751	14673850	1100	*	18	0	0	0.0738838929694981	0.635962110344181	up	4687	0.328253824156755	1.17578115630268
chr1	14842501	14843000	500	*	5	0	2	0.0984147096771826	0.681948060400835	down	4817	-1.57695386539369	-1.55702711492068
chr1	15266501	15267000	500	*	8	0	2	0.0526039292796345	0.585656790845013	down	4876	-0.755301300945979	-1.50982042297256
chr1	15485901	15486300	400	*	6	0	5	0.00934990753297875	0.382959900639181	down	4967	-2.26131039064489	-1.56687612272195
chr1	15651651	15652800	1150	*	21	0	6	0.00221398841548582	0.266564902061633	down	5005	-0.799606505030144	-0.628955111009878
chr1	15997251	15997450	200	*	2	2	0	0.0160635062471228	0.440367257592163	up	5140	0.829470270087158	-1.64076153824441
chr1	16070151	16070450	300	*	4	2	0	0.0616230674642698	0.608184939579161	up	5144	0.932277593535643	-1.63418278262422
chr1	16127551	16128500	950	*	17	6	2	0.0558526971568259	0.593290360085541	mixed	5310	0.899048869564938	-1.56154411326914
chr1	16136351	16137200	850	*	15	6	0	0.0849729801507796	0.657398627803295	up	5325	0.69557378122999	-1.18653523647826
chr1	16213601	16214550	950	*	13	0	10	0.0847704606783002	0.656935924958038	down	5389	-0.864459837580441	-1.57367165847422
chr1	16227701	16228950	1250	*	23	2	0	0.00676137762639112	0.352351444592939	up	5406	0.52518311211727	0.272318888967581
chr1	16265201	16265450	250	*	3	0	2	0.0482113804693285	0.57492212528639	down	5512	-0.767079401894432	-1.69350910863168
chr1	16664801	16665800	1000	*	18	0	0	0.0205558294370706	0.470875855643049	down	5708	-0.394621546477073	0.450293761978328
chr1	16720751	16721250	500	*	8	0	5	0.0768665199554851	0.642025228529785	down	5757	-1.22769534147341	-1.56804795083985
chr1	16723651	16724100	450	*	7	7	0	0.00270461130066302	0.278738301892271	up	5763	1.58763514702002	-1.64799021326139
chr1	17377651	17378300	650	*	11	7	0	0.00514614372912056	0.324191094968167	up	5887	1.36179133509866	-1.32690962535427
chr1	17457351	17457600	250	*	3	0	2	0.0155380835080087	0.437399069478085	down	5926	-0.972147159745898	-1.45770454196403
chr1	17569851	17570750	900	*	16	10	0	0.00243014101724287	0.271707153896322	up	5940	1.926811106679	-1.70614170875224
chr1	17665851	17666250	400	*	6	3	0	0.0209476491030684	0.472208331482679	up	5959	0.643529865026143	-1.0408729197752
chr1	17738351	17739150	800	*	9	0	2	0.061798775300181	0.608409460923646	down	5988	-1.09146412785333	-1.59711569290184
chr1	19088201	19088500	300	*	4	0	2	0.0442218175276983	0.56335523277282	down	6075	-1.55673387696015	-1.57269541645067
chr1	19178851	19179400	550	*	6	3	0	0.0715981337662151	0.632224556551839	up	6122	1.03861999760096	-1.54404542020635
chr1	19210051	19211350	1300	*	24	3	0	0.0743348862081628	0.636675888456807	up	6172	0.68634357122054	-1.01541969768325
chr1	19230701	19231850	1150	*	19	1	6	0.0404787218059181	0.552699998057356	down	6303	-2.30961262523239	-1.66242147038966
chr1	19232501	19233200	700	*	12	3	1	0.0786554139517208	0.645058297693149	up	6305	1.01381830793726	-1.66259437534686
chr1	19240051	19241250	1200	*	21	0	10	0.00888098207219358	0.378031732654015	down	6370	-1.05889880242158	-1.42893246054009
chr1	19241151	19242300	1150	*	21	0	3	0.0348545900188777	0.534210798954581	down	6389	-0.49538076095962	-0.220814272320524
chr1	19680851	19681700	850	*	13	9	0	0.000498569400498025	0.171193605388595	up	6426	1.12303660069148	-1.2752752844885
chr1	19927751	19928300	550	*	9	0	4	0.000694765784228083	0.19079933236056	down	6472	-1.09906389774394	-1.36124991400946
chr1	19932801	19933250	450	*	7	0	1	0.0246024552166122	0.489729201530742	down	6482	-0.611525655162663	-0.720376124267554
chr1	19973351	19974400	1050	*	15	4	0	0.0493594363067669	0.578320888524989	up	6512	0.997767222175815	-1.67756374471862
chr1	20743751	20744450	700	*	12	0	2	0.0753430236632497	0.638666673255848	down	6627	-0.530809827007122	-0.674807725978135
chr1	20803451	20803850	400	*	6	0	4	0.0589186394437173	0.60150517704642	down	6676	-1.13417493412305	-1.64429149351175
chr1	21075801	21076500	700	*	12	3	0	0.00948639039812938	0.384054638945196	up	7077	0.732411737482513	-0.969590629155883
chr1	21101051	21102300	1250	*	23	2	0	0.0719636503239417	0.633046724569735	up	7137	0.958164917723725	-1.4852313371451
chr1	21206251	21206700	450	*	7	0	5	0.000861177109278552	0.206510864871814	down	7208	-1.12358416209745	-1.55017148503659
chr1	22293351	22293650	300	*	4	0	3	0.022804828067579	0.480327323173703	down	7394	-1.26171310592785	-1.61697010265008
chr1	22805051	22806050	1000	*	18	0	2	0.0913306732465005	0.670587871478831	down	7464	-0.420836908087179	-0.020888890339397
chr1	23792751	23793450	700	*	11	2	1	0.0890257295613635	0.665492236201313	up	7720	0.945804668660683	-1.57478991550344
chr1	24171501	24171850	350	*	5	1	1	0.0821424207340328	0.652538786461521	down	7906	-0.850836968942855	-1.48806944555237
chr1	24302501	24303400	900	*	16	1	5	0.0118191274955971	0.408291787383729	down	8024	-1.58459000744856	-0.44857854012545
chr1	24586751	24587750	1000	*	18	0	1	0.0682502405014407	0.623760794906646	down	8084	-0.641735277800146	-0.929611010926259
chr1	25830151	25831450	1300	*	24	0	0	0.00374716874313797	0.295435122141951	down	8245	-0.403085599094139	0.79358470974477
chr1	28565151	28566200	1050	*	19	0	6	0.0189462518922351	0.463130015790869	down	8278	-1.89148253251258	-1.51434719361559
chr1	30181251	30181950	700	*	12	6	0	0.0841436638966076	0.656103896431838	up	8317	0.635620717949944	-0.87900133495512
chr1	30414901	30415550	650	*	11	8	0	0.0354064659536384	0.535507487329456	up	8330	0.685758390544836	-0.879954556246429
chr1	30771751	30772200	450	*	7	0	1	0.035396234164439	0.535483794143466	down	8364	-0.581937633155523	-0.810159439387256
chr1	30937801	30937950	150	*	1	1	0	0.0592504389068097	0.602209446755073	up	8471	0.555839702636948	-1.63404985740414
chr1	31096151	31096550	400	*	4	0	1	0.0479931099554825	0.573842026155682	down	8541	-1.16153060166379	-1.68562881824884
chr1	33738951	33740000	1050	*	19	0	1	0.0844912018305196	0.656419379361882	down	8788	-0.67600462212146	-0.950836970544122
chr1	33744301	33744600	300	*	4	0	4	0.0679715086347643	0.623127862100784	down	8824	-0.945641284529869	-1.54610613412841
chr1	33755951	33757500	1550	*	29	0	3	0.0115983782649325	0.406278569458459	down	8861	-0.592044337393314	-0.424849331305102
chr1	33757401	33758950	1550	*	29	0	2	0.00747063453523157	0.360502423046629	down	8864	-0.564316803860001	-0.005132094270535
chr1	33763551	33764500	950	*	15	9	0	0.0526978034919214	0.585656790845013	up	8900	0.571713065020881	-0.800382096124904
chr1	33883601	33883750	150	*	1	1	0	0.0984750426304392	0.681948060400835	up	8966	0.531470472809363	-1.69880010736647
chr1	33897801	33898500	700	*	12	5	0	0.089949934953539	0.66741381076101	up	8972	0.585819024182065	-1.27805391583011
chr1	34032851	34033700	850	*	15	1	4	0.014352225995992	0.428728500299586	down	9330	-0.570358877092595	-0.365573872037349
chr1	34106601	34107450	850	*	15	0	8	0.0937001122050443	0.674560814150305	down	9507	-1.45331178266559	-0.91649982719229
chr1	34121201	34121650	450	*	4	3	0	0.0883471289442534	0.664345972321591	up	9526	0.97453908463585	-1.63398886274306
chr1	34140101	34140950	850	*	15	1	6	0.0848636670162677	0.657222058497741	down	9557	-0.976607679941691	-1.33415556574786
chr1	34164451	34165250	800	*	14	0	4	0.0226393288743982	0.479695127182237	down	9611	-0.986575708536033	-1.66851332697496
chr1	34376151	34376450	300	*	4	0	2	0.0249167766729217	0.490648237344758	down	9668	-1.15432758592603	-1.55916671776889
chr1	34516651	34517200	550	*	6	0	4	0.0621718001801683	0.609524065715087	down	10028	-0.727329120609116	-1.43251628916482
chr1	34587901	34588050	150	*	1	1	0	0.0681323274110003	0.623392566275795	up	10130	0.685040781906451	-1.69637491827241
chr1	34750901	34752000	1100	*	20	0	5	0.0779107539593722	0.643306937456037	down	10333	-0.665563523468193	-0.78465446707375
chr1	34811051	34812100	1050	*	19	2	1	0.0136429936849191	0.423042907302045	up	10438	0.563971558204394	-0.411045227027236
chr1	34849451	34850800	1350	*	23	3	0	0.0635170798444973	0.61299237216746	up	10523	0.524880894799389	-0.2989268871603
chr1	34860201	34860550	350	*	5	0	3	0.0693952254293006	0.626401591056602	down	10555	-1.09111555334948	-1.56641972495659
chr1	35017501	35017900	400	*	6	0	3	0.0189871791063597	0.463130015790869	down	10658	-0.581232263483617	-0.732972594940008
chr1	35257501	35257900	400	*	6	3	0	0.0796321395268822	0.646771728501384	up	10662	0.631956497516973	-1.46362145463234
chr1	35457501	35458300	800	*	14	2	0	0.0607628934959018	0.606404908994801	up	10737	0.791041659991533	-1.467109725443
chr1	35495801	35496400	600	*	10	0	9	0.00502892581007605	0.322549957746387	down	10765	-1.01040378574259	-1.24891940784301
chr1	35514751	35515350	600	*	10	0	9	0.00441279192031625	0.310555609827712	down	10773	-0.896813109655924	-1.45629152941645
chr1	35523601	35524700	1100	*	16	0	3	0.0411702597073591	0.554881217662578	down	10787	-2.77295068637581	-1.56296434057077
chr1	35750151	35750300	150	*	1	1	0	0.0160311378957149	0.439968217985239	up	10836	1.15608324508492	-1.69594400885665
chr1	35823651	35825000	1350	*	24	1	6	0.0038142866097595	0.297270099098086	down	10986	-0.546990325206342	-0.0583000333372459
chr1	36013551	36014150	600	*	10	5	0	0.0416516036590946	0.556581182800921	up	11158	0.903790676693551	-1.34018874396465
chr1	36122601	36123350	750	*	13	1	2	0.0555231032966036	0.592117944544215	up	11459	1.69864243372275	-1.67500326906326
chr1	36131551	36132500	950	*	17	0	3	0.0663154807590939	0.619014897086222	down	11496	-1.06383251906943	-1.54442454856719
chr1	36251551	36252550	1000	*	12	5	0	0.00593046472185523	0.33878657538209	up	11571	1.00749673172463	-1.42544627238539
chr1	36262151	36262350	200	*	2	0	1	0.00631637524167228	0.346612169662484	down	11633	-2.96010595907625	-1.64751786691969
chr1	36279001	36279800	800	*	14	2	0	0.0730332511228136	0.635127715999962	up	11732	0.765278324475641	-1.1792384911228
chr1	36296251	36296750	500	*	8	3	0	0.0813039923525082	0.65017242684295	up	11745	0.721786770333423	-1.50334265180141
chr1	36307201	36308300	1100	*	20	0	0	0.0779637942550875	0.643345487066238	up	11820	0.311437586177186	0.67517867608677
chr1	36308201	36309350	1150	*	21	3	0	0.0075487316103571	0.361637622304513	up	11823	0.785824895593528	-0.589281875814717
chr1	36368101	36368950	850	*	15	1	0	0.0447432546017958	0.565375383866017	up	11926	0.475024122681346	-0.118784522080227
chr1	36396701	36397700	1000	*	17	0	7	0.0821482763880456	0.652555321867567	down	11946	-0.644131476322159	-1.37708197275678
chr1	36435201	36435500	300	*	4	3	0	0.0184262583855471	0.459101892168289	up	12013	0.739289714004254	-1.6009914017508
chr1	36457001	36458250	1250	*	15	3	0	0.0535873839041679	0.58682488431105	up	12057	1.03005652525493	-1.66533275057013
chr1	36478451	36478900	450	*	6	3	0	0.0823624156546896	0.652951221829223	up	12108	0.831587481494444	-1.68249585237771
chr1	36492101	36493000	900	*	15	0	7	0.0918232429572473	0.671672823562678	down	12127	-0.925044225121972	-1.58848191631379
chr1	36500951	36502000	1050	*	19	3	2	0.0903075610374594	0.668342443387696	up	12153	0.736678448033401	-1.12792960681554
chr1	36534701	36536050	1350	*	25	3	1	0.0953427593329974	0.67738570148893	up	12323	1.13896889659268	-1.55986548217793
chr1	36539151	36539850	700	*	12	0	7	0.0359943789450735	0.537107457839143	down	12341	-0.609875384088722	-0.911039109977054
chr1	36545501	36547000	1500	*	27	3	0	0.0113011282180856	0.403256575721697	up	12373	0.659578389787974	-0.635884669010001
chr1	36555751	36557250	1500	*	28	2	0	0.0232846487653909	0.482874520086916	up	12555	0.550680398847241	-0.206497518806754
chr1	36575401	36576550	1150	*	21	0	5	0.0591037558756554	0.60215063901106	down	12745	-0.690265985340161	-1.05005581437692
chr1	36582951	36584200	1250	*	22	3	0	0.0863117585364523	0.66007483060237	up	12831	0.961951659277904	-1.57804900810362
chr1	36595251	36596650	1400	*	26	0	0	0.0501959703519146	0.580142611618742	down	12968	-0.457231155244831	0.174425551910952
chr1	36630701	36632100	1400	*	24	7	2	0.0170276298037538	0.448179969660349	mixed	13069	-1.50104251257816	-1.3212443570778
chr1	36683651	36684900	1250	*	23	4	0	0.0977407810900728	0.6812438281893	up	13238	0.727061370873612	-1.17720944214606
chr1	36770501	36771800	1300	*	24	5	2	0.0799142539891261	0.646924734967774	mixed	13507	0.746287775422465	-1.48166736321957
chr1	36798551	36798850	300	*	4	2	0	0.0905414163575773	0.668832839000319	up	13576	0.664674264145674	-1.67385873676506
chr1	36875051	36875200	150	*	1	0	1	0.0451744126568435	0.566513579650749	down	13643	-0.660990435808042	-1.70405615932518
chr1	36884701	36885300	600	*	6	0	2	0.0850256931019101	0.657429867573593	down	13645	-0.911864757433174	-1.70443730745328
chr1	36939501	36940650	1150	*	21	1	0	0.0197192264454015	0.46585220508532	up	13740	0.288013719145243	1.30799386816592
chr1	36996451	36997450	1000	*	18	9	0	0.00288980832557239	0.282068857316399	up	13777	0.786109583245156	-0.746077262741042
chr1	37041051	37041450	400	*	6	0	4	0.00872822220364394	0.376338739958165	down	13825	-0.817137588175063	-1.2678338542519
chr1	37054751	37054950	200	*	2	2	0	0.0178324944212308	0.453971868993159	up	13828	1.21459530620529	-1.61956076396445
chr1	37083951	37084500	550	*	9	5	0	0.0530927479824357	0.586428468013827	up	13843	0.736825520301252	-1.38604875452245
chr1	37125051	37125350	300	*	4	2	0	0.0757853274959792	0.639375373737792	up	13887	0.640298804705775	-1.48041905089629
chr1	37131101	37131750	650	*	11	2	0	0.0306580472185277	0.518027394334029	up	13890	0.877708733801976	-1.20593793358682
chr1	37186351	37186500	150	*	1	1	0	0.0262868533485868	0.498201017735843	up	13901	0.833324832710972	-1.69601936521034
chr1	37341401	37342350	950	*	15	2	2	0.0148569055284635	0.432052885565482	down	14154	-0.840097437932783	-1.09702401968099
chr1	37349551	37350050	500	*	8	0	3	0.0676222857004827	0.62211135574647	down	14167	-0.607104228221168	-1.0992285109528
chr1	37372451	37373100	650	*	6	2	0	0.0990180965669421	0.682928234653192	up	14188	0.606907709420247	-1.5974944736459
chr1	37412701	37413250	550	*	5	0	2	0.0876800633394403	0.662883941445946	down	14265	-1.21455658309848	-1.62198420188149
chr1	37534201	37535000	800	*	13	0	2	0.0690146229566796	0.625468986467809	down	14370	-0.511083025480823	-0.555848207317515
chr1	37540251	37541700	1450	*	27	4	0	0.0406400216602079	0.553442081894064	up	14385	0.734826399396066	-1.05113791353879
chr1	37624351	37624700	350	*	5	2	0	0.00455286606279833	0.314070863316376	up	14492	1.75336733404916	-1.66235571752363
chr1	37628451	37629400	950	*	16	0	6	0.0384372010395579	0.546891910544815	down	14502	-0.622630239240014	-0.927076610560159
chr1	37634351	37635050	700	*	10	0	5	0.0409643568611221	0.554555141375264	down	14514	-0.623140491755645	-0.889313521220447
chr1	37831501	37832050	550	*	9	0	4	0.0364166808994675	0.538160730273404	down	14690	-0.711454406617291	-1.24315768459668
chr1	37869001	37869300	300	*	4	0	4	0.0427180564730231	0.559295813080471	down	14725	-1.04285683640835	-1.55856693505193
chr1	37903151	37903600	450	*	7	0	2	0.0580316428109025	0.598789782804641	down	14794	-0.867035461355052	-1.3096227698792
chr1	37985751	37986450	700	*	12	3	1	0.0482978030294201	0.57520578002222	up	14822	0.757238434292546	-1.38482258420293
chr1	38011601	38012050	450	*	7	2	0	0.0833254319785529	0.654657632322615	up	14887	0.86422346006648	-1.02267949398416
chr1	38128351	38129450	1100	*	20	0	5	0.00184181218747032	0.247120005229005	down	14894	-3.58533679869868	-1.60751574907452
chr1	38201801	38202050	250	*	3	0	3	0.0598050383192811	0.603252489962197	down	15012	-0.745338737788767	-1.59373347758804
chr1	38308551	38309400	850	*	13	8	0	0.0147358418065749	0.430947149143836	up	15165	1.22253322772745	-1.36804489124288
chr1	38363601	38364200	600	*	5	1	0	0.0384960204169717	0.547118436046129	up	15171	0.866303542766319	-1.67238636415309
chr1	38387351	38388200	850	*	15	4	0	0.0296409118683718	0.514242621283136	up	15205	0.912233208467397	-1.42504307789666
chr1	38388101	38388900	800	*	9	6	1	0.0245132291501841	0.489356298097942	up	15226	0.792100010413501	-1.42261273955398
chr1	38436051	38437400	1350	*	25	9	0	0.0156765972609173	0.437635303823061	up	15331	0.601881139593043	-0.0771466829509838
chr1	38467301	38468000	700	*	12	0	6	0.0351790799751747	0.534841831017089	down	15409	-0.67199688856025	-0.951951443920939
chr1	38478051	38478800	750	*	13	4	0	0.0851643361967346	0.657429867573593	up	15423	0.632661829271184	-1.31801351354184
chr1	38494001	38494450	450	*	7	6	0	0.00774246071170227	0.363179381311458	up	15441	0.955675428064759	-1.03474391951443
chr1	38507751	38507950	200	*	2	0	1	0.0997044317106709	0.684039633318373	down	15473	-0.762483565054312	-1.69111390423543
chr1	38538451	38538700	250	*	3	2	0	0.0193253017311762	0.463921501146259	up	15510	1.03149440921776	-1.5506054071107
chr1	38546351	38547500	1150	*	19	5	2	0.0171432371542648	0.449407598936927	up	15543	1.37294380311187	-1.52430923099297
chr1	38631501	38632350	850	*	15	4	0	0.0959392009633462	0.678667203410667	up	15772	0.645316690904162	-0.900957217801805
chr1	38635001	38636150	1150	*	21	8	0	0.00527043603170438	0.326852101979096	up	15786	0.833894331239775	-0.744056369912332
chr1	38642301	38643050	750	*	12	1	5	0.0496554182132257	0.578791580556211	down	15827	-1.12361997818648	-1.49013022396604
chr1	38648851	38649750	900	*	15	5	0	0.000931392381037209	0.212399616373149	up	15830	1.25366455101135	-1.57151830873692
chr1	38695851	38696700	850	*	15	0	4	0.0767918967879907	0.641794417189994	down	15885	-1.24301720486438	-1.56698983548153
chr1	38766201	38767300	1100	*	20	0	0	0.0904181444556169	0.668550615571357	up	15944	0.220053415401252	1.80787314351486
chr1	38769901	38771350	1450	*	27	5	0	0.0161397882221337	0.440990126958778	up	15988	1.07360816604175	-0.769832077432118
chr1	38881451	38881800	350	*	5	2	0	0.0806945671924045	0.648757154381751	up	16109	1.10965955651611	-1.70727965762561
chr1	38893051	38894250	1200	*	22	0	4	0.0691805363622438	0.625857258139824	down	16135	-1.5558376245173	-1.30161959930463
chr1	38987001	38987850	850	*	15	0	0	0.0229693493751348	0.480976562469443	up	16223	0.255323889792171	1.57609475003635
chr1	38987751	38988550	800	*	14	3	0	0.0208634965498696	0.472208331482679	up	16232	0.955801745052627	-1.04641075967785
chr1	39064051	39064450	400	*	6	0	2	0.0564076783977667	0.59487855659878	down	16329	-0.877947277526497	-1.41579811191385
chr1	39069001	39069850	850	*	15	0	7	0.0418755702201336	0.557247148370773	down	16339	-1.13536451684717	-0.935098214089665
chr1	39069751	39070600	850	*	15	0	2	0.000455839942000439	0.16805087935014	down	16361	-3.54314219654873	-1.60579298291861
chr1	39089751	39090300	550	*	9	0	4	0.0200498603734869	0.468148670956955	down	16373	-2.082030203085	-1.49016531810255
chr1	39106151	39107000	850	*	15	0	2	0.0613263840628787	0.607928937649685	down	16393	-2.8002052935635	-1.59578949004542
chr1	39186501	39187150	650	*	11	3	2	0.00852261455939866	0.373347704102888	up	16435	1.32349367934659	-1.51660938796503
chr1	39306701	39307000	300	*	4	0	3	0.0888555434687144	0.665086301378938	down	16572	-0.737817719049591	-1.64717521811688
chr1	39313351	39313600	250	*	3	0	2	0.017239155643575	0.450558819347616	down	16581	-1.12563099602782	-1.71261407796913
chr1	39330901	39331550	650	*	11	0	4	0.0162966475653903	0.442503255968414	down	16590	-2.68441283368521	-1.48227790172163
chr1	39340501	39341100	600	*	10	1	1	0.00503950599820696	0.322945386101324	down	16622	-1.0185379387439	-1.45866478289662
chr1	39344801	39345600	800	*	12	0	5	0.000919943106503259	0.212361926645554	down	16633	-3.73838474851808	-1.61231014850716
chr1	39368101	39369550	1450	*	27	3	7	0.0366832613934699	0.539161941150432	down	16713	-0.942759999105898	-1.24363600185062
chr1	39373251	39374550	1300	*	24	0	4	0.0152261928757265	0.435202613127212	down	16768	-1.50771642292829	-1.30845525779417
chr1	39390601	39391550	950	*	16	0	7	0.00167331109859967	0.241387540567299	down	16852	-1.47078445151854	-1.13311588551585
chr1	39394051	39394650	600	*	10	2	0	0.0787284942785993	0.645240980055309	up	16889	0.775729585406396	-1.31565502386856
chr1	39529851	39530850	1000	*	14	1	3	0.0914488887955539	0.670688317571367	down	17115	-0.769442765888023	-1.21599229768894
